OBJECTID,Bikeway Type,Status,On Street Name,From Street Name,To Street Name,Year Completed,District,Shape__Length
261,PBL,Complete,28th Ave N,Charlotte Ave,Park Plz,2015,21,1687.60173681928
262,BBL,Complete,Hickory Highlands Dr,Rural Hill Rd,Library Entrance,2014,32,1059.01729845485
263,BL,Complete,Hickory Highlands Dr,Library Entrance,Bell Rd,2014,32,564.997761729221
264,SSR,Complete,E Palestine Ave,Gallatin Pike,Argle Ave,2014,07,1160.7941107251
265,SSR,Complete,Craighead St,Franklin Pike,Nolensville Pike,2007,17,7214.57634930217
266,BL,Complete,E Webster St / E Palestine Ave,Gallatin Pike,Argle Ave,2014,07,2608.56120835854
267,SSR,Complete,Clifton Ave,40th Ave N,Spruce St,2009,21,9155.57358247799
268,SSR,Complete,Jo Johnston Ave,Clifton Ave,16th Ave N,2009,"19, 21",3205.65900699174
269,BBL,Complete,Baugh Rd,Bellevue Rd,Old Harding Pike,2015,22,2604.65746457577
270,BBL,Complete,Cedarmont Dr,Maxine Dr,Barnes Rd,2015,31,1690.17752728498
271,PBL,Complete,Edge O Lake Dr,Murfreesboro Pike,Rural Hill Rd,2024,"28, 29",4994.09899722837
272,SSR,Complete,Nebraska Ave,48th Ave N,37th Ave N,2014,24,4567.65401610906
273,SSR,Complete,Elm Hill Pike,Massman Dr,Briley Pkwy,2011,15,6987.07924420559
274,SSR,Complete,Fatherland St,S 11th St,S 19th St,2012,06,3952.26582148364
275,BBL,Complete,Gallatin Pike,Myatt Dr,One Mile Pkwy,2015,10,7024.15845557226
276,BBL,Complete,Gallatin Pike,Old Hickory Blvd,Neelys Bend Rd,2017,"08, 09",3098.85690563123
277,SSR,Complete,4th Ave N,Harrison St,RR,2015,19,346.508607249286
278,BL,Complete,4th Ave N,RR,3rd Ave N,2015,19,667.122167720951
279,SSR,Complete,Apple Valley Rd,N Graycroft Ave,350' East of Primm Dr,2015,"08, 10",820.229330821903
280,BBL,Complete,Apple Valley Rd,350' East of Primm Dr,Connare Dr,2015,"08, 10",1545.42854789669
281,BL,Complete,Connare Dr,N Graycroft Ave,Apple Valley Rd,2015,10,1063.44714081218
282,BL,Complete,Connare Dr,Apple Valley Rd,One Mile Pkwy,2015,"08, 10",859.523770499912
283,SSR,Complete,Hart Ln,Saunders Ave,Gallatin Pike,2007,"07, 08",2320.67674767648
284,BL,Complete,Oak St,Vine St,6th Ave S,2014,17,512.286874318615
285,BBL,Complete,Fort Negley Blvd,Bass St,Chestnut St,2014,17,2026.62541385799
286,BBL,Complete,Bass St,Fort Negley Blvd,Vine St,2014,17,658.917963331135
287,PBL,Complete,Demonbreun St,Buddy Killen Cir,12th Ave S,2024,19,1769.6778548678
288,BL,Complete,N 14th St,Eastland Ave,Ordway Pl,2015,06,1202.09817321907
289,BBL,Complete,S 4th St,S 5th St,Shelby Ave,2014,06,1763.70727278412
290,BBL,Complete,Cedarmont Dr,Old Hickory Blvd,Maxine Dr,2015,"27, 31",3550.5245281315
291,BL,Complete,Korean Veterans Blvd,4th Ave S,Hermitage Ave/1st Ave S,2015,19,923.701876107769
292,BL,Complete,Korean Veterans Blvd,8th Ave S,4th Ave S,2015,19,1656.20398983465
293,BL,Complete,Korean Veterans Blvd,1st Ave S,Korean Veterans Memorial Bridge (E of 1st Ave S),2014,19,726.551639961132
294,BBL,Complete,Shelby Ave,Interstate Dr,S 4th St,2014,06,666.156897915325
295,BBL,Complete,Nashboro Blvd,Flintlock Ct,Bell Rd,2015,29,2744.111663197
296,BL,Complete,Shelby Ave,S 2nd St,Interstate Dr,2014,06,829.892153131009
297,SSR,Complete,Church St,9th Ave N,Rosa L Parks Blvd,2015,19,201.79342274686
298,BBL,Complete,Gallatin Pike,One Mile Pkwy,Anderson Ln,2015,"08, 09, 10",2211.40613477183
299,SSR,Complete,40th Ave N,Dr Walter Davis Blvd,Charlotte Ave,2010,"21, 24",4745.61163146186
300,BL,Complete,Clare Ave,39th Ave N,Albion St,2015,21,1051.1227148166
301,SSR,Complete,N 1st St,Dickerson Pike,Spring St,2015,05,1673.10823529162
302,BL,Complete,Hickory Plz,Ocala Dr,Old Hickory Blvd,2014,"04, 27",2038.67403826048
303,BL,Complete,Ocala Dr,Hickory Plz,Nolensville Pike,2014,27,587.226343861685
